Name,Platform,Year_of_Release,Genre,Global_Sales,Critic_Score,User_Score
Wii Sports,Wii,2006,Sports,82.53,76,8
Super Mario Bros.,NES,1985,Platform,40.24,,
Mario Kart Wii,Wii,2008,Racing,35.52,82,8.3
Wii Sports Resort,Wii,2009,Sports,32.77,80,8
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,31.37,,
Tetris,GB,1989,Puzzle,30.26,,
New Super Mario Bros.,DS,2006,Platform,29.8,89,8.5
Wii Play,Wii,2006,Misc,28.92,58,6.6
New Super Mario Bros. Wii,Wii,2009,Platform,28.32,87,8.4
Duck Hunt,NES,1984,Shooter,28.31,,
Nintendogs,DS,2005,Simulation,24.67,,
Mario Kart DS,DS,2005,Racing,23.21,91,8.6
Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,23.1,,
Wii Fit,Wii,2007,Sports,22.7,80,7.7
Kinect Adventures!,X360,2010,Misc,21.81,61,6.3
Wii Fit Plus,Wii,2009,Sports,21.79,80,7.4
Grand Theft Auto V,PS3,2013,Action,21.04,97,8.2
Grand Theft Auto: San Andreas,PS2,2004,Action,20.81,95,9
Super Mario World,SNES,1990,Platform,20.61,,
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,20.15,77,7.9
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,18.25,,
Super Mario Land,GB,1989,Platform,18.14,,
Super Mario Bros. 3,NES,1988,Platform,17.28,,
Grand Theft Auto V,X360,2013,Action,16.27,97,8.1
Grand Theft Auto: Vice City,PS2,2002,Action,16.15,95,8.7
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,15.85,,
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,15.29,77,7.1
Pokemon Black/Pokemon White,DS,2010,Role-Playing,15.14,,
Gran Turismo 3: A-Spec,PS2,2001,Racing,14.98,95,8.4
Call of Duty: Modern Warfare 3,X360,2011,Shooter,14.73,88,3.4
Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,14.64,,
Call of Duty: Black Ops 3,PS4,2015,Shooter,14.63,,
Call of Duty: Black Ops,X360,2010,Shooter,14.61,87,6.3
Pokemon X/Pokemon Y,3DS,2013,Role-Playing,14.6,,
Call of Duty: Black Ops II,PS3,2012,Shooter,13.79,83,5.3
Call of Duty: Black Ops II,X360,2012,Shooter,13.67,83,4.8
Call of Duty: Modern Warfare 2,X360,2009,Shooter,13.47,94,6.3
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,13.32,88,3.2
Grand Theft Auto III,PS2,2001,Action,13.1,97,8.5
Super Smash Bros. Brawl,Wii,2008,Fighting,12.84,93,8.9
Mario Kart 7,3DS,2011,Racing,12.66,85,8.2
Call of Duty: Black Ops,PS3,2010,Shooter,12.63,88,6.4
Grand Theft Auto V,PS4,2014,Action,12.61,97,8.3
Animal Crossing: Wild World,DS,2005,Simulation,12.13,86,8.7
Halo 3,X360,2007,Shooter,12.12,94,7.8
Super Mario 64,N64,1996,Platform,11.89,,
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,11.77,,
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,11.68,,
Gran Turismo 4,PS2,2004,Racing,11.66,89,8.5
Super Mario Galaxy,Wii,2007,Platform,11.35,97,8.9
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,11.18,,
Grand Theft Auto IV,X360,2008,Action,11.01,98,7.9
Gran Turismo,PS,1997,Racing,10.95,96,8.7
Super Mario 3D Land,3DS,2011,Platform,10.81,90,8.4
Gran Turismo 5,PS3,2010,Racing,10.7,84,7.5
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,10.6,94,6.3
Super Mario All-Stars,SNES,1993,Platform,10.55,,
Grand Theft Auto IV,PS3,2008,Action,10.5,98,7.5
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,10.49,,
Super Mario 64,DS,2004,Platform,10.3,,
Call of Duty: Ghosts,X360,2013,Shooter,10.25,73,2.6
Just Dance 3,Wii,2011,Misc,10.12,74,7.8
New Super Mario Bros. 2,3DS,2012,Platform,9.9,78,7.2
Mario Kart 64,N64,1996,Racing,9.87,,
Halo: Reach,X360,2010,Shooter,9.86,91,7.9
Final Fantasy VII,PS,1997,Role-Playing,9.72,92,9.2
Halo 4,X360,2012,Shooter,9.71,87,7
Gran Turismo 2,PS,1999,Racing,9.49,93,9
Just Dance 2,Wii,2010,Misc,9.44,74,7.3
Call of Duty: Ghosts,PS3,2013,Shooter,9.36,71,2.6
Call of Duty 4: Modern Warfare,X360,2007,Shooter,9.31,94,8.4
Donkey Kong Country,SNES,1994,Platform,9.3,,
Minecraft,X360,2013,Misc,9.18,,
Animal Crossing: New Leaf,3DS,2012,Simulation,9.16,88,8.7
Mario Party DS,DS,2007,Misc,8.91,72,7.8
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,8.79,96,8.4
Super Mario Kart,SNES,1992,Racing,8.76,,
FIFA 16,PS4,2015,Sports,8.57,82,4.3
Halo 2,XB,2004,Shooter,8.49,95,8.2
Wii Party,Wii,2010,Misc,8.38,68,7.4
Mario Party 8,Wii,2007,Misc,8.27,62,6.3
FIFA Soccer 13,PS3,2012,Action,8.16,88,6.6
GoldenEye 007,N64,1997,Shooter,8.09,,
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,8.07,,
Final Fantasy X,PS2,2001,Role-Playing,8.05,92,8.7
The Sims 3,PC,2009,Simulation,8.01,86,7.6
Mario & Sonic at the Olympic Games,Wii,2007,Sports,7.99,,
Star Wars Battlefront (2015),PS4,2015,Shooter,7.98,,
Final Fantasy VIII,PS,1999,Role-Playing,7.86,90,8.6
Pac-Man,2600,1982,Puzzle,7.81,,
Pokémon Platinum Version,DS,2008,Role-Playing,7.72,83,8.5
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,7.69,88,7.6
Call of Duty: Advanced Warfare,PS4,2014,Shooter,7.66,83,5.7
The Legend of Zelda: Ocarina of Time,N64,1998,Action,7.6,,
FIFA 17,PS4,2016,Sports,7.59,85,5
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,7.58,,
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,7.55,,
Super Mario Galaxy 2,Wii,2010,Platform,7.51,97,9.1
Super Mario Bros. 2,NES,1988,Platform,7.46,,
Call of Duty: Black Ops 3,XOne,2015,Shooter,7.39,,
Call of Duty: World at War,X360,2008,Shooter,7.38,84,7.6
Battlefield 3,X360,2011,Shooter,7.32,84,7.4
Need for Speed Underground,PS2,2003,Racing,7.2,85,8.6
Just Dance,Wii,2009,Misc,7.2,49,8
Battlefield 3,PS3,2011,Shooter,7.17,85,7.5
Fallout 4,PS4,2015,Role-Playing,7.16,87,6.5
Tekken 3,PS,1998,Fighting,7.16,96,9.1
The Legend of Zelda: Twilight Princess,Wii,2006,Action,7.15,95,9
Pokemon Sun/Moon,3DS,2016,Role-Playing,7.14,,
Crash Bandicoot 3: Warped,PS,1998,Platform,7.13,91,8.9
Mario Kart 8,WiiU,2014,Racing,7.09,88,9.1
Super Smash Bros. Melee,GC,2001,Fighting,7.07,92,9.1
Mario Kart: Double Dash!!,GC,2003,Racing,6.95,,
Need for Speed Underground 2,PS2,2004,Racing,6.9,82,8.6
Medal of Honor: Frontline,PS2,2002,Shooter,6.83,88,8.5
Crash Bandicoot,PS,1996,Platform,6.82,,
Just Dance 4,Wii,2012,Misc,6.76,74,7.3
Gears of War 2,X360,2008,Shooter,6.75,93,7.7
Uncharted 3: Drake's Deception,PS3,2011,Action,6.74,92,8.3
Zumba Fitness,Wii,2010,Sports,6.71,,tbd
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,6.68,94,8.4
Uncharted 2: Among Thieves,PS3,2009,Action,6.66,96,8.8
FIFA 12,PS3,2011,Sports,6.65,,
Big Brain Academy,DS,2005,Misc,6.62,74,7.4
The Legend of Zelda,NES,1986,Action,6.51,,
Red Dead Redemption,PS3,2010,Action,6.49,95,8.8
FIFA 14,PS3,2013,Sports,6.47,86,4.3
Assassin's Creed III,PS3,2012,Action,6.45,85,6.9
Donkey Kong Country Returns,Wii,2010,Platform,6.44,87,8.6
Halo: Combat Evolved,XB,2001,Shooter,6.43,97,8.6
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,6.41,92,6.4
Pokémon Emerald Version,GBA,2004,Role-Playing,6.41,76,9
Kingdom Hearts,PS2,2002,Role-Playing,6.4,85,8.8
Pokémon Crystal Version,GB,2000,Role-Playing,6.39,,
Halo 3: ODST,X360,2009,Shooter,6.34,83,7.1
Red Dead Redemption,X360,2010,Action,6.32,95,9
Super Mario Sunshine,GC,2002,Platform,6.31,92,8.6
Street Fighter II: The World Warrior,SNES,1992,Fighting,6.3,,
World of Warcraft,PC,2004,Role-Playing,6.29,93,7.3
Driver,PS,1999,Action,6.27,87,8.1
Gears of War 3,X360,2011,Shooter,6.21,91,7.8
Kinect Sports,X360,2010,Sports,6.19,73,7.4
Gears of War,X360,2006,Shooter,6.09,94,8.3
FIFA 15,PS4,2014,Sports,6.08,82,5.7
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,6.05,96,8.7
Sonic the Hedgehog 2,GEN,1992,Platform,6.03,,
Metal Gear Solid,PS,1998,Action,6.03,94,9.4
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,5.99,94,8.7
Final Fantasy XII,PS2,2006,Role-Playing,5.95,92,7.6
The Last of Us,PS3,2013,Action,5.87,95,9.1
LittleBigPlanet,PS3,2008,Platform,5.82,95,6.8
Resident Evil 2,PS,1998,Action,5.82,89,9.2
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,5.78,87,8.8
Tekken 2,PS,1996,Fighting,5.74,89,8.9
Destiny,PS4,2014,Shooter,5.64,76,6.1
LEGO Star Wars: The Complete Saga,Wii,2007,Action,5.64,80,8.9
Cooking Mama,DS,2006,Simulation,5.63,67,7.2
Tetris,NES,1988,Puzzle,5.58,,
Super Smash Bros.,N64,1999,Fighting,5.55,,
Assassin's Creed II,PS3,2009,Action,5.55,91,8.6
Assassin's Creed,X360,2007,Adventure,5.54,81,7.7
Forza Motorsport 3,X360,2009,Racing,5.49,92,8
Super Mario Advance,GBA,2001,Platform,5.49,84,7.8
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,5.48,81,8.7
Batman: Arkham City,PS3,2011,Action,5.48,96,8.6
Grand Theft Auto V,XOne,2014,Action,5.48,97,7.9
Mario Kart: Super Circuit,GBA,2001,Racing,5.47,93,8.3
Super Mario World,GBA,2001,Platform,5.46,,
Pokemon Stadium,N64,1999,Strategy,5.45,,
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,5.42,66,7.1
Call of Duty: World at War,PS3,2008,Shooter,5.39,85,7.6
Uncharted 4: A Thief's End,PS4,2016,Shooter,5.38,93,7.9
Dr. Mario,GB,1989,Puzzle,5.34,,
Final Fantasy XIII,PS3,2009,Role-Playing,5.33,83,7.3
Pokemon Pinball,GB,1999,Misc,5.31,,
Final Fantasy IX,PS,2000,Role-Playing,5.3,94,8.9
Assassin's Creed III,X360,2012,Action,5.29,84,6.7
Final Fantasy X-2,PS2,2003,Role-Playing,5.29,85,6.6
Donkey Kong 64,N64,1999,Platform,5.27,,
Call of Duty: Advanced Warfare,XOne,2014,Shooter,5.27,81,5.4
Minecraft,PS3,2014,Misc,5.26,,
Assassin's Creed II,X360,2009,Action,5.26,90,8.8
Tomb Raider II,PS,1997,Action,5.24,85,
Madden NFL 2004,PS2,N/A,Sports,5.23,94,8.5
Tomodachi Life,3DS,2013,Simulation,5.23,,
New Super Mario Bros. U,WiiU,2012,Platform,5.22,84,8.1
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,5.21,89,8.8
Super Mario Bros. 3,GBA,2003,Platform,5.2,,
Professor Layton and the Curious Village,DS,2007,Puzzle,5.19,85,8.6
Super Mario Land 3: Wario Land,GB,1994,Platform,5.19,,
FIFA Soccer 13,X360,2012,Action,5.16,90,6.1
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,5.15,,
Diablo III,PC,2012,Role-Playing,5.14,88,4
Medal of Honor: Rising Sun,PS2,2003,Shooter,5.13,68,7.6
Kirby's Dream Land,GB,1992,Platform,5.13,,
Microsoft Flight Simulator,PC,1996,Simulation,5.12,,
Guitar Hero II,PS2,2006,Misc,5.12,92,8.5
Fable III,X360,2010,Role-Playing,5.1,80,6.5
Mario & Sonic at the Olympic Games,DS,2008,Sports,5.09,,
Resident Evil 5,PS3,2009,Action,5.09,84,7.5
