Name,Platform,Publisher,Global_Sales,Critic_Score
Wii Sports,Wii,Nintendo,82.53,76
Super Mario Bros.,NES,Nintendo,40.24,
Mario Kart Wii,Wii,Nintendo,35.52,82
Wii Sports Resort,Wii,Nintendo,32.77,80
Pokemon Red/Pokemon Blue,GB,Nintendo,31.37,
Tetris,GB,Nintendo,30.26,
New Super Mario Bros.,DS,Nintendo,29.8,89
Wii Play,Wii,Nintendo,28.92,58
New Super Mario Bros. Wii,Wii,Nintendo,28.32,87
Duck Hunt,NES,Nintendo,28.31,
Nintendogs,DS,Nintendo,24.67,
Mario Kart DS,DS,Nintendo,23.21,91
Pokemon Gold/Pokemon Silver,GB,Nintendo,23.1,
Wii Fit,Wii,Nintendo,22.7,80
Kinect Adventures!,X360,Microsoft Game Studios,21.81,61
Wii Fit Plus,Wii,Nintendo,21.79,80
Grand Theft Auto V,PS3,Take-Two Interactive,21.04,97
Grand Theft Auto: San Andreas,PS2,Take-Two Interactive,20.81,95
Super Mario World,SNES,Nintendo,20.61,
Brain Age: Train Your Brain in Minutes a Day,DS,Nintendo,20.15,77
Pokemon Diamond/Pokemon Pearl,DS,Nintendo,18.25,
Super Mario Land,GB,Nintendo,18.14,
Super Mario Bros. 3,NES,Nintendo,17.28,
Grand Theft Auto V,X360,Take-Two Interactive,16.27,97
Grand Theft Auto: Vice City,PS2,Take-Two Interactive,16.15,95
Pokemon Ruby/Pokemon Sapphire,GBA,Nintendo,15.85,
Brain Age 2: More Training in Minutes a Day,DS,Nintendo,15.29,77
Pokemon Black/Pokemon White,DS,Nintendo,15.14,
Gran Turismo 3: A-Spec,PS2,Sony Computer Entertainment,14.98,95
Call of Duty: Modern Warfare 3,X360,Activision,14.73,88
Pokémon Yellow: Special Pikachu Edition,GB,Nintendo,14.64,
Call of Duty: Black Ops 3,PS4,Activision,14.63,
Call of Duty: Black Ops,X360,Activision,14.61,87
Pokemon X/Pokemon Y,3DS,Nintendo,14.6,
Call of Duty: Black Ops II,PS3,Activision,13.79,83
Call of Duty: Black Ops II,X360,Activision,13.67,83
Call of Duty: Modern Warfare 2,X360,Activision,13.47,94
Call of Duty: Modern Warfare 3,PS3,Activision,13.32,88
Grand Theft Auto III,PS2,Take-Two Interactive,13.1,97
Super Smash Bros. Brawl,Wii,Nintendo,12.84,93
Mario Kart 7,3DS,Nintendo,12.66,85
Call of Duty: Black Ops,PS3,Activision,12.63,88
Grand Theft Auto V,PS4,Take-Two Interactive,12.61,97
Animal Crossing: Wild World,DS,Nintendo,12.13,86
Halo 3,X360,Microsoft Game Studios,12.12,94
Super Mario 64,N64,Nintendo,11.89,
Pokemon HeartGold/Pokemon SoulSilver,DS,Nintendo,11.77,
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,Nintendo,11.68,
Gran Turismo 4,PS2,Sony Computer Entertainment,11.66,89
Super Mario Galaxy,Wii,Nintendo,11.35,97
Super Mario Land 2: 6 Golden Coins,GB,Nintendo,11.18,
Grand Theft Auto IV,X360,Take-Two Interactive,11.01,98
Gran Turismo,PS,Sony Computer Entertainment,10.95,96
Super Mario 3D Land,3DS,Nintendo,10.81,90
Gran Turismo 5,PS3,Sony Computer Entertainment,10.7,84
Call of Duty: Modern Warfare 2,PS3,Activision,10.6,94
Super Mario All-Stars,SNES,Nintendo,10.55,
Grand Theft Auto IV,PS3,Take-Two Interactive,10.5,98
Pokemon FireRed/Pokemon LeafGreen,GBA,Nintendo,10.49,
Super Mario 64,DS,Nintendo,10.3,
Call of Duty: Ghosts,X360,Activision,10.25,73
Just Dance 3,Wii,Ubisoft,10.12,74
New Super Mario Bros. 2,3DS,Nintendo,9.9,78
Mario Kart 64,N64,Nintendo,9.87,
Halo: Reach,X360,Microsoft Game Studios,9.86,91
Final Fantasy VII,PS,Sony Computer Entertainment,9.72,92
Halo 4,X360,Microsoft Game Studios,9.71,87
Gran Turismo 2,PS,Sony Computer Entertainment,9.49,93
Just Dance 2,Wii,Ubisoft,9.44,74
Call of Duty: Ghosts,PS3,Activision,9.36,71
Call of Duty 4: Modern Warfare,X360,Activision,9.31,94
Donkey Kong Country,SNES,Nintendo,9.3,
Minecraft,X360,Microsoft Game Studios,9.18,
Animal Crossing: New Leaf,3DS,Nintendo,9.16,88
Mario Party DS,DS,Nintendo,8.91,72
The Elder Scrolls V: Skyrim,X360,Bethesda Softworks,8.79,96
Super Mario Kart,SNES,Nintendo,8.76,
FIFA 16,PS4,Electronic Arts,8.57,82
Halo 2,XB,Microsoft Game Studios,8.49,95
Wii Party,Wii,Nintendo,8.38,68
Mario Party 8,Wii,Nintendo,8.27,62
FIFA Soccer 13,PS3,Electronic Arts,8.16,88
GoldenEye 007,N64,Nintendo,8.09,
Pokemon Black 2/Pokemon White 2,DS,Nintendo,8.07,
Final Fantasy X,PS2,Sony Computer Entertainment,8.05,92
The Sims 3,PC,Electronic Arts,8.01,86
Mario & Sonic at the Olympic Games,Wii,Sega,7.99,
Star Wars Battlefront (2015),PS4,Electronic Arts,7.98,
Final Fantasy VIII,PS,SquareSoft,7.86,90
Pac-Man,2600,Atari,7.81,
Pokémon Platinum Version,DS,Nintendo,7.72,83
Grand Theft Auto: Liberty City Stories,PSP,Take-Two Interactive,7.69,88
Call of Duty: Advanced Warfare,PS4,Activision,7.66,83
The Legend of Zelda: Ocarina of Time,N64,Nintendo,7.6,
FIFA 17,PS4,Electronic Arts,7.59,85
Crash Bandicoot 2: Cortex Strikes Back,PS,Sony Computer Entertainment,7.58,
Super Smash Bros. for Wii U and 3DS,3DS,Nintendo,7.55,
Super Mario Galaxy 2,Wii,Nintendo,7.51,97
Super Mario Bros. 2,NES,Nintendo,7.46,
Call of Duty: Black Ops 3,XOne,Activision,7.39,
