value,category,name
8782571,Tabletop Games,Exploding Kittens
6465690,Product Design,Fidget Cube: A Vinyl Desk Toy
5408916,Web,"Bring Reading Rainbow Back for Every Child, Everywhere!"
5702153,Narrative Film,The Veronica Mars Movie Project
3336371,Video Games,Double Fine Adventure
20338986,Product Design,"Pebble Time - Awesome Smartwatch, No Compromises"
4188927,Video Games,Torment: Tides of Numenera
3986929,Video Games,Pillars of Eternity (formerly Project Eternity)
2090104,Video Games,Yooka-Laylee - A 3D Platformer Rare-vival!
3007370,Technology,ZNAPS - Connection is just a snap away
6333295,Video Games,Shenmue 3
10266845,Product Design,Pebble: E-Paper Watch for iPhone and Android
3845170,Video Games,Mighty No. 9
12779843,Product Design,"Pebble 2, Time 2 + All-New Pebble Core"
5545991,Video Games,Bloodstained: Ritual of the Night
3246588,Tabletop Games,Joking Hazard
8596474,Gaming Hardware,OUYA: A New Kind of Video Game Console
13285226,Product Design,COOLEST COOLER: 21st Century Cooler that's Actually Cooler
2933252,Video Games,Wasteland 2
5764229,Television,Bring Back MYSTERY SCIENCE THEATER 3000
3105473,Narrative Film,WISH I WAS HERE
9192055,Product Design,The World's Best TRAVEL JACKET with 15 Features || BAUBAX
2229344,Video Games,Planetary Annihilation - A Next Generation RTS
2032434,Video Games,Divinity: Original Sin 2
2785537,Video Games,BATTLETECH - Tactical 'Mech Combat Returns to the PC.
2071927,Hardware,CHIP - The World's First Nine Dollar Computer
1731465,Hardware,"PINE A64, First $15 64-Bit Single Board Super Computer"
1836447,Video Games,Shadowrun Returns
1106371,Video Games,Kingdom Come: Deliverance
1479046,Tabletop Games,Secret Hitler
2134374,Video Games,Star Citizen
1519680,Video Games,The Bard's Tale IV
1229015,Video Games,Double Fine's MASSIVE CHALICE
1204726,Video Games,Shadowrun: Hong Kong
3771474,Tabletop Games,Dark Souls\u2122 - The Board Game
1353024,Tabletop Games,"Million Dollars, But... The Game"
695138,Product Design,Pressy - the Almighty Android Button!
851108,Product Design,Xpand\xae Lacing System: Shoelaces Redesigned
702516,Video Games,Castle Story
2344134,Hardware,3Doodler: The World's First 3D Printing Pen
6565782,Product Design,"The Everyday Backpack, Tote, and Sling"
1578316,Video Games,Elite: Dangerous
1192793,Music,"Theatre Is Evil: the album, art book and tour"
2485506,Video Games,Homestuck Adventure Game
645158,Video Games,Hyper Light Drifter
1911827,Narrative Film,Blue Mountain State: The Movie
658434,Product Design,Passion Planner: The One Place for All Your Thoughts
1241615,Space Exploration,LightSail: A Revolutionary Solar Sailing Spacecraft
751920,Video Games,Stonehearth
3560642,Tabletop Games,Massive Darkness
1919275,Video Games,Shroud of the Avatar: Forsaken Virtues
1321306,Video Games,Obduction
1647155,Hardware,Remix Mini - The World's First True Android PC.
1538425,Video Games,Dreamfall Chapters: The Longest Journey
620412,Radio &amp; Podcasts,Radiotopia: A Storytelling Revolution
1350700,Video Games,System Shock
929160,Product Design,Bunch O Balloons: 100 Water Balloons in Less Than 1 Minute
1232612,Flight,PowerUp 3.0 - Smartphone Controlled Paper Airplane
4079204,Tabletop Games,Zombicide: Black Plague
1078634,Product Design,"""Oi"" - The bike bell that doesn't look like a bike bell"
590807,Radio &amp; Podcasts,Planet Money T-shirt
723886,Video Games,The Banner Saga
1578950,Video Games,WARMACHINE: TACTICS
1479231,Product Design,FaceCradle Travel Pillow - Upgrade to Sleeping Class!
944282,Video Games,Divinity: Original Sin
2410741,Technology,Sense: Know More. Sleep Better.
839301,Technology,SnapPower Charger: Add USB ports to your wall with no wiring
776084,Video Games,Shantae: Half-Genie Hero
6225354,Sound,Pono Music - Where Your Soul Rediscovers Music
872133,Animation,Bee and PuppyCat: The Series
974578,Video Games,Armikrog.
2278255,Video Games,HEX MMO Trading Card Game
3429235,Games,Reaper Miniatures Bones: An Evolution Of Gaming Miniatures
1810294,Tabletop Games,Scythe
2640852,Technology,Purple\xae Pillow: The World's First No-Pressure Pillow
630019,Action,KUNG FURY
1505366,Space Exploration,ARKYD: A Space Telescope for Everyone
470310,Gadgets,Matchstick - The Streaming Stick Built on Firefox OS
526563,Video Games,Project GODUS
4869472,Product Design,The Everyday Messenger: A Bag For Cameras & Essential Carry
1766204,Video Games,Crowfall - Throne War PC MMO
859425,Documentary,The Bill Nye Film
2952508,Hardware,The Superbook: Turn your smartphone into a laptop
2950874,3D Printing,Tiko - The Unibody 3D Printer
672801,DIY Electronics,"Omega2: $5 Linux Computer with Wi-Fi, Made for IoT"
1193776,Product Design,BetterBack\u2014Perfect Posture Effortlessly (getbetterback.com)
701010,Video Games,The Mandate
706287,Product Design,"Passion Planner: Get One, Give One"
2321811,Technology,OLO - The First Ever Smartphone 3D Printer.
3327757,Tabletop Games,Conan
3390551,Product Design,The Dash \u2013 Wireless Smart In Ear Headphones
660126,Video Games,Unsung Story: Tale of the Guardians
1014600,Video Games,\u3010Project Phoenix\u3011 Japan's indie RPG feat. AAA talent!
625143,Video Games,Carmageddon: Reincarnation
626250,Video Games,Thimbleweed Park: A New Classic Point & Click Adventure!
580905,Publishing,To Be Or Not To Be: That Is The Adventure
360286,Product Design,The Stupendous Splendiferous ButterUp
308838,Fashion,The CRABBY Wallet: A wallet that is not for everyone...
461333,Video Games,Satellite Reign
3169610,Tabletop Games,Reaper Miniatures Bones II: The Return Of Mr Bones!
1254120,Comics,The Order of the Stick Reprint Drive
1440345,Typography,B I B L I O T H E C A
2232933,Video Games,Camelot Unchained
311502,Video Games,Shovel Knight
