value,category,name
20338986,Product Design,"Pebble Time - Awesome Smartwatch, No Compromises"
13285226,Product Design,COOLEST COOLER: 21st Century Cooler that's Actually Cooler
12779843,Product Design,"Pebble 2, Time 2 + All-New Pebble Core"
10266845,Product Design,Pebble: E-Paper Watch for iPhone and Android
9192055,Product Design,The World's Best TRAVEL JACKET with 15 Features || BAUBAX
8782571,Tabletop Games,Exploding Kittens
8596474,Gaming Hardware,OUYA: A New Kind of Video Game Console
6565782,Product Design,"The Everyday Backpack, Tote, and Sling"
6465690,Product Design,Fidget Cube: A Vinyl Desk Toy
6333295,Video Games,Shenmue 3
6225354,Sound,Pono Music - Where Your Soul Rediscovers Music
5764229,Television,Bring Back MYSTERY SCIENCE THEATER 3000
5702153,Narrative Film,The Veronica Mars Movie Project
5545991,Video Games,Bloodstained: Ritual of the Night
5408916,Web,"Bring Reading Rainbow Back for Every Child, Everywhere!"
4961032,Hardware,Altered:Nozzle - Same tap. 98% less water.
4869472,Product Design,The Everyday Messenger: A Bag For Cameras & Essential Carry
4188927,Video Games,Torment: Tides of Numenera
4079204,Tabletop Games,Zombicide: Black Plague
3986929,Video Games,Pillars of Eternity (formerly Project Eternity)
3845170,Video Games,Mighty No. 9
3771474,Tabletop Games,Dark Souls\u2122 - The Board Game
3560642,Tabletop Games,Massive Darkness
3429235,Games,Reaper Miniatures Bones: An Evolution Of Gaming Miniatures
3401361,3D Printing,The Micro: The First Truly Consumer 3D Printer
3390551,Product Design,The Dash \u2013 Wireless Smart In Ear Headphones
3336371,Video Games,Double Fine Adventure
3327757,Tabletop Games,Conan
3307773,Product Design,G-RO: Revolutionary Carry-on Luggage
3257695,Product Design,Smart Parka - The World's First Complete Winter Coat
3246588,Tabletop Games,Joking Hazard
3169610,Tabletop Games,Reaper Miniatures Bones II: The Return Of Mr Bones!
3126114,Product Design,"Nebia Shower - Better experience, 70% less water"
3105473,Narrative Film,WISH I WAS HERE
3007370,Technology,ZNAPS - Connection is just a snap away
2952508,Hardware,The Superbook: Turn your smartphone into a laptop
2950874,3D Printing,Tiko - The Unibody 3D Printer
2945885,Technology,"FORM 1: An affordable, professional 3D printer"
2933252,Video Games,Wasteland 2
2849064,Tabletop Games,Zombicide: Season 3
2785537,Video Games,BATTLETECH - Tactical 'Mech Combat Returns to the PC.
2746655,Tabletop Games,KULT: Divinity Lost - Horror Roleplaying Game (RPG)
2730365,Tabletop Games,Reaper Miniatures Bones 3: The Search for Mr. Bones!
2709837,Tabletop Games,TRUDVANG CHRONICLES
2708472,Sound,OSSIC X: The first 3D audio headphones calibrated to you
2640852,Technology,Purple\xae Pillow: The World's First No-Pressure Pillow
2592231,Tabletop Games,The Duchess - A Gaming Table from BoardGameTables.com
2568586,Product Design,"Taga 2.0 - The Ultimate, Most Affordable Family Bike"
2530756,Sound,Revols - Premium Quick Custom-Fit Wireless Earphones
2485506,Video Games,Homestuck Adventure Game
2437429,Gaming Hardware,Oculus Rift: Step Into the Game
2410741,Technology,Sense: Know More. Sleep Better.
2359260,Tabletop Games,Dwarven Forge's Modular City Builder Terrain System
2344134,Hardware,3Doodler: The World's First 3D Printing Pen
2335119,Technology,ZANO - Autonomous. Intelligent. Swarming. Nano Drone.
2321811,Technology,OLO - The First Ever Smartphone 3D Printer.
2319876,Technology,SpeedX Leopard | the first ever smart aero road bike
2278255,Video Games,HEX MMO Trading Card Game
2255018,Tabletop Games,Zombicide: Season 2
2232933,Video Games,Camelot Unchained
2229344,Video Games,Planetary Annihilation - A Next Generation RTS
2140851,Tabletop Games,Dwarven Forge's Caverns-Dwarvenite Game Tiles Terrain
2134374,Video Games,Star Citizen
2090104,Video Games,Yooka-Laylee - A 3D Platformer Rare-vival!
2085491,Wearables,Ticwatch 2: The Most Interactive Smartwatch
2071927,Hardware,CHIP - The World's First Nine Dollar Computer
2049721,Tabletop Games,Kingdom Death : Monster
2032434,Video Games,Divinity: Original Sin 2
1947035,Product Design,ZUNGLE : Wear the Beats
1936825,Product Design,The ultimate sleep sanctuary: Kokoon EEG headphones
1924018,Sculpture,Sisyphus \u2013 The Kinetic Art Table
1919275,Video Games,Shroud of the Avatar: Forsaken Virtues
1911827,Narrative Film,Blue Mountain State: The Movie
1908155,Tabletop Games,Dwarven Forge's Game Tiles: Revolutionary Miniature Terrain
1851033,Apparel,"ADV3NTURE Hoodie, the Most Funded Fashion Kickstarter EVER!"
1836447,Video Games,Shadowrun Returns
1811321,Food,Anova Precision Cooker - Cook sous vide with your phone
1810294,Tabletop Games,Scythe
1803988,Sound,Nura: Headphones that learn and adapt to your unique hearing
1781736,Tabletop Games,Dwarven Forge's Castles: 3-D Modular Terrain for Gamers
1766204,Video Games,Crowfall - Throne War PC MMO
1731465,Hardware,"PINE A64, First $15 64-Bit Single Board Super Computer"
1725336,Product Design,The NOMATIC Travel Bag
1710713,Tabletop Games,Arcadia Quest: Inferno
1688179,Wearables,Vi. The First True Artificial Intelligence Personal Trainer
1688094,Art,Illustrator's Guidebook
1647155,Hardware,Remix Mini - The World's First True Android PC.
1643117,Product Design,EMOTIV INSIGHT: Optimize your brain fitness & performance
1641075,3D Printing,FLUX Delta - The Everything Printer for Designers
1633361,Food,"The Field Skillet: Lighter, Smoother Cast Iron"
1621021,3D Printing,TRINUS - The Affordable All-Metal 3D Printer
1618869,Product Design,Ulo
1613874,Wearables,BLOCKS - The World's First Modular Smartwatch
1609835,Technology,MOVE\u2013motorize blinds and shades
1596457,Hardware,Cubetto - Hands on coding for ages 3 and up
1578950,Video Games,WARMACHINE: TACTICS
1578316,Video Games,Elite: Dangerous
1576011,Gadgets,Prynt: the first instant camera case for iPhone and Android
1575976,Product Design,Floating Record\u2122 Vertical Turntable
1559525,Drinks,The uKeg Pressurized Growler for Fresh Beer
