data,category,name
760505847,Action,Avatar 
658672302,Drama,Titanic 
652177271,Action,Jurassic World 
623279547,Action,The Avengers 
623279547,Action,The Avengers 
533316061,Action,The Dark Knight 
474544677,Action,Star Wars: Episode I - The Phantom Menace 
460935665,Action,Star Wars: Episode IV - A New Hope 
458991599,Action,Avengers: Age of Ultron 
448130642,Action,The Dark Knight Rises 
436471036,Adventure,Shrek 2
434949459,Family,E.T. the Extra-Terrestrial 
424645577,Adventure,The Hunger Games: Catching Fire 
423032628,Action,Pirates of the Caribbean: Dead Man's Chest 
422783777,Adventure,The Lion King 
414984497,Adventure,Toy Story 3
408992272,Action,Iron Man 3
407999255,Adventure,The Hunger Games 
407197282,Action,Captain America: Civil War 
403706375,Action,Spider-Man 
402076689,Action,Transformers: Revenge of the Fallen 
400736600,Adventure,Frozen 
380838870,Adventure,Finding Nemo 
380262555,Action,Star Wars: Episode III - Revenge of the Sith 
377019252,Action,The Lord of the Rings: The Return of the King 
373377893,Action,Spider-Man 2
368049635,Animation,Despicable Me 2
363024263,Action,Deadpool 
362645141,Adventure,The Jungle Book 
362645141,Adventure,The Jungle Book 
356784000,Adventure,Jurassic Park 
356454367,Adventure,Inside Out 
352358779,Action,Transformers: Dark of the Moon 
350123553,Action,American Sniper 
350034110,Action,Furious 7
340478898,Action,The Lord of the Rings: The Two Towers 
337103873,Adventure,The Hunger Games: Mockingjay - Part 1
336530303,Action,Spider-Man 3
336530303,Action,Spider-Man 3
336029560,Action,Minions 
334185206,Adventure,Alice in Wonderland 
334185206,Adventure,Alice in Wonderland 
333130696,Action,Guardians of the Galaxy 
330249062,Action,Batman v Superman: Dawn of Justice 
329691196,Comedy,Forrest Gump 
323505540,Animation,The Secret Life of Pets 
320706665,Adventure,Shrek the Third 
318759914,Action,Transformers 
318298180,Action,Iron Man 
317557891,Adventure,Harry Potter and the Sorcerer's Stone 
317011114,Action,Indiana Jones and the Kingdom of the Crystal Skull 
313837577,Action,The Lord of the Rings: The Fellowship of the Ring 
312057433,Action,Iron Man 2
310675583,Action,Star Wars: Episode II - Attack of the Clones 
309404152,Action,Pirates of the Caribbean: At World's End 
309125409,Action,Star Wars: Episode VI - Return of the Jedi 
306124059,Action,Independence Day 
305388685,Action,Pirates of the Caribbean: The Curse of the Black Pearl 
304360277,Action,Skyfall 
304360277,Action,Skyfall 
303001229,Adventure,The Hobbit: An Unexpected Journey 
301956980,Adventure,Harry Potter and the Half-Blood Prince 
300523113,Adventure,The Twilight Saga: Eclipse 
296623634,Adventure,The Twilight Saga: New Moon 
293501675,Drama,The Sixth Sense 
292979556,Adventure,Up 
292568851,Action,Inception 
292298923,Adventure,The Twilight Saga: Breaking Dawn - Part 2
292298923,Adventure,The Twilight Saga: Breaking Dawn - Part 2
292000866,Adventure,Harry Potter and the Order of the Phoenix 
291709845,Adventure,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe "
291021565,Action,Man of Steel 
290158751,Action,Star Wars: Episode V - The Empire Strikes Back 
289994397,Adventure,Harry Potter and the Goblet of Fire 
289907418,Adventure,"Monsters, Inc. "
285761243,Comedy,Home Alone 
281666058,Adventure,The Hunger Games: Mockingjay - Part 2
281492479,Action,The Matrix Reloaded 
279167575,Comedy,Meet the Fockers 
277313371,Comedy,The Hangover 
274084951,Adventure,Gravity 
268488329,Adventure,Monsters University 
267652016,Adventure,Shrek 
262030663,Action,The Amazing Spider-Man 
261970615,Adventure,Harry Potter and the Chamber of Secrets 
261437578,Action,The Incredibles 
260031035,Comedy,How the Grinch Stole Christmas 
260000000,Adventure,Jaws 
259746958,Action,Captain America: The Winter Soldier 
258355354,Adventure,The Hobbit: The Desolation of Smaug 
257756197,Action,The Lego Movie 
257704099,Action,Star Trek 
256386216,Drama,I Am Legend 
255950375,Biography,The Blind Side 
255108370,Adventure,The Hobbit: The Battle of the Five Armies 
254455986,Comedy,The Hangover Part II 
251501645,Animation,Despicable Me 
251188924,Action,Batman 
250863268,Action,Night at the Museum 
250147615,Adventure,Men in Black 
249358727,Adventure,Harry Potter and the Prisoner of Azkaban 
245823397,Adventure,Toy Story 2
245428137,Action,Transformers: Age of Extinction 
244052771,Adventure,Cars 
242589580,Comedy,Bruce Almighty 
242374454,Action,Raiders of the Lost Ark 
241688385,Action,Twister 
241437427,Comedy,My Big Fat Greek Wedding 
241407328,Action,Maleficent 
241063875,Action,Pirates of the Caribbean: On Stranger Tides 
238371987,Adventure,Shrek Forever After 
237282182,Adventure,Brave 
234903076,Adventure,Oz the Great and Powerful 
234903076,Adventure,Oz the Great and Powerful 
234760500,Action,Beverly Hills Cop 
234360014,Action,X-Men: The Last Stand 
234277056,Adventure,War of the Worlds 
233914986,Action,X-Men: Days of Future Past 
233630478,Adventure,Cast Away 
229074524,Action,The Lost World: Jurassic Park 
228756232,Action,Star Trek Into Darkness 
228430993,Adventure,The Martian 
227965690,Drama,Signs 
227946274,Action,Hancock 
227137090,Action,The Bourne Ultimatum 
226138454,Action,Rush Hour 2
223806889,Adventure,WALL·E 
222487711,Action,Big Hero 6
219613391,Animation,Alvin and the Chipmunks: The Squeakquel 
219200000,Comedy,Mrs. Doubtfire 
218628680,Comedy,Ted 
218051260,Action,King Kong 
218051260,Action,King Kong 
218051260,Action,King Kong 
217631306,Drama,Ghost 
217536138,Mystery,The Da Vinci Code 
217387997,Adventure,How to Train Your Dragon 
217350219,Adventure,Aladdin 
217326336,Animation,Alvin and the Chipmunks 
